column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop,drop_reasons
Комментарий к адресу,str,0.444,126,0.5431,0.444,1.0,False,False,False,False,False,[]
Фактическая группа капитальности,str,0.3922,6,0.0259,0.4569,1.0,False,False,False,False,False,[]
Год ввода в эксплуатацию,str,0.3922,69,0.2974,0.3922,1.0,False,False,False,False,False,[]
Реконструируемый объект,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
"Количество людей, одновременно на",str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Объект с массовым пребыванием люд,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Многофункциональность,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Наличие НОР,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Наличие ИПР,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Наличие СТУ,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Наличие ДПБ,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Наличие ЗПБ,str,0.3836,2,0.0086,0.6164,1.0,False,False,False,False,False,[]
Поднадзорность,str,0.3836,3,0.0129,0.6078,1.0,False,False,False,False,False,[]
Категория риска,str,0.3836,5,0.0216,0.5948,1.0,False,False,False,False,False,[]
"Этаж, на котором произошел пожар",str,0.3836,4,0.0172,0.5474,1.0,False,False,False,False,False,[]
Степень огнестойкости,str,0.3836,6,0.0259,0.5388,1.0,False,False,False,False,False,[]
Этажность здания,float64,0.3836,3,0.0129,0.5086,0.19649364719787255,False,False,False,False,False,[]
Классификация по ФПО,str,0.3836,7,0.0302,0.431,1.0,False,False,False,False,False,[]
Категория здания,str,0.3836,12,0.0517,0.3836,1.0,False,False,False,False,False,[]
Категория объекта,str,0.3836,7,0.0302,0.3836,1.0,False,False,False,False,False,[]
Место возникновения пожара в здан,str,0.3836,15,0.0647,0.3836,1.0,False,False,False,False,False,[]
Общая площадь объекта,str,0.3836,58,0.25,0.3836,1.0,False,False,False,False,False,[]
Объект с круглосуточным пребывани,str,0.3793,2,0.0086,0.6207,1.0,False,False,False,False,False,[]
Строящийся объект,str,0.3793,3,0.0129,0.6164,1.0,False,False,False,False,False,[]
Наличие систем ППЗ,str,0.3793,3,0.0129,0.6164,1.0,False,False,False,False,False,[]
Причина пожара для зданий (сооруже,str,0.3793,20,0.0862,0.3793,1.0,False,False,False,False,False,[]
"Список условий, способствовавших ",str,0.3448,12,0.0517,0.3448,1.0,False,False,False,False,False,[]
УСРП#1,str,0.3448,10,0.0431,0.3448,1.0,False,False,False,False,False,[]
Сведения о водоснабжении на пожар,str,0.1897,6,0.0259,0.4784,1.0,False,False,False,False,False,[]
ИВ#1 Тип,str,0.1897,6,0.0259,0.4784,1.0,False,False,False,False,False,[]
C#1 Тип,str,0.1767,4,0.0172,0.8017,1.0,False,False,False,False,False,[]
C#1 Количество,float64,0.1767,4,0.0172,0.5172,0.41609258748966654,False,False,False,False,False,[]
"Сведения о стволах, поданных на ту",str,0.1767,9,0.0388,0.5,1.0,False,False,False,False,False,[]
Время подачи первого ствола,str,0.1595,196,0.8448,0.1595,1.0,False,False,False,False,False,[]
Список рангов пожаров,str,0.1207,2,0.0086,0.8233,1.0,False,False,False,False,False,[]
Р#1,str,0.1207,2,0.0086,0.8233,1.0,False,False,False,False,False,[]
СПТ#1 Тип,str,0.1207,2,0.0086,0.8233,1.0,False,False,False,False,False,[]
Время локализации,str,0.0819,214,0.9224,0.0819,1.0,False,False,False,False,False,[]
Время ликвидации последствий пожа,str,0.0819,214,0.9224,0.0819,1.0,False,False,False,False,False,[]
Время ликвидации открытого горени,str,0.0819,214,0.9224,0.0819,1.0,False,False,False,False,False,[]
Т#1 Количество,float64,0.056,7,0.0302,0.3362,1.3007414854844792,False,False,False,False,False,[]
"Сведения о технике, используемой п",str,0.056,13,0.056,0.3276,1.0,False,False,False,False,False,[]
ПСПТ#1 Тип,str,0.0259,5,0.0216,0.7155,1.0,False,False,False,False,False,[]
Время прибытия 1-го ПП,str,0.0216,228,0.9828,0.0216,1.0,False,False,False,False,False,[]
УТП#1,str,0.0172,8,0.0345,0.7112,1.0,False,False,False,False,False,[]
РТП со старшей должностью,str,0.0172,9,0.0388,0.5647,1.0,False,False,False,False,False,[]
Список участников тушения пожара,str,0.0172,25,0.1078,0.5388,1.0,False,False,False,False,False,[]
РТП из первого прибывшего подразд,str,0.0172,8,0.0345,0.3922,1.0,False,False,False,False,False,[]
Время обнаружения,str,0.0172,228,0.9828,0.0172,1.0,False,False,False,False,False,[]
Время сообщения,str,0.0172,229,0.9871,0.0172,1.0,False,False,False,False,False,[]
Количество добровольных пожарных,int64,0.0,3,0.0129,0.8491,0.4090162710852366,False,False,False,False,False,[]
"Количество пожарных стволов, пода",int64,0.0,3,0.0129,0.8147,0.1577660844902224,False,False,False,False,False,[]
Количество записей о водоснабжени,int64,0.0,2,0.0086,0.8103,0.1543513957307061,False,False,False,False,False,[]
